index	label
1	V1
2	MST
3	V6
4	V2
5	V3
6	V4
7	V8
8	area_4
9	area_3b
10	FEF
11	PEF
12	area_55b
13	V3A
14	RSC
15	POS2
16	V7
17	IPS1
18	FFC
19	V3B
20	LO1
21	LO2
22	PIT
23	MT
24	A1
25	PSL
26	SFL
27	PCV
28	STV
29	area_7Pm
30	area_7m
31	POS1
32	area_23d
33	v23ab
34	d23ab
35	area_31pv
36	area_5m
37	area_5mv
38	area_23c
39	area_5L
40	area_24dd
41	area_24dv
42	area_7AL
43	SCEF
44	area_6ma
45	area_7Am
46	area_7Pl
47	area_7PC
48	LIPv
49	VIP
50	MIP
51	area_1
52	area_2
53	area_3a
54	area_6d
55	area_6mp
56	area_6v
57	p24pr
58	area_33pr
59	a24pr
60	p32pr
61	a24
62	d32
63	area_8BM
64	p32
65	area_10r
66	area_47m
67	area_8Av
68	area_8Ad
69	area_9m
70	area_8BL
71	area_9p
72	area_10d
73	area_8C
74	area_44
75	area_45
76	area_47l
77	a47r
78	area_6r
79	IFJa
80	IFJp
81	IFSp
82	IFSa
83	p9-46v
84	area_46
85	a9-46v
86	area_9_46d
87	area_9a
88	area_10v
89	a10p
90	area_10pp
91	area_11l
92	area_13l
93	OFC
94	area_47s
95	LIPd
96	area_6a
97	i6-8
98	s6-8
99	area_43
100	OP4
101	OP1
102	OP2-3
103	area_52
104	RI
105	PFcm
106	PoI2
107	TA2
108	FOP4
109	MI
110	Pir
111	AVI
112	AAIC
113	FOP1
114	FOP3
115	FOP2
116	PFt
117	AIP
118	EC
119	PreS
120	H
121	ProS
122	PeEc
123	STGa
124	PBelt
125	A5
126	PHA1
127	PHA3
128	STSda
129	STSdp
130	STSvp
131	TGd
132	TE1a
133	TE1p
134	TE2a
135	TF
136	TE2p
137	PHT
138	PH
139	TPOJ1
140	TPOJ2
141	TPOJ3
142	DVT
143	PGp
144	IP2
145	IP1
146	IP0
147	PFop
148	PF
149	PFm
150	PGi
151	PGs
152	V6A
153	VMV1
154	VMV3
155	PHA2
156	V4t
157	FST
158	V3CD
159	LO3
160	VMV2
161	area_31pd
162	area_31a
163	VVC
164	area_25
165	s32
166	pOFC
167	PoI1
168	Ig
169	FOP5
170	p10p
171	p47r
172	TGv
173	MBelt
174	LBelt
175	A4
176	STSva
177	TE1m
178	PI
179	a32pr
180	p24
10000	thal_10000
10001	thal_10001
10002	thal_10002
10003	thal_10003
10004	thal_10004
10005	thal_10005
10006	thal_10006
10007	thal_10007
10008	thal_10008
10009	thal_10009
10010	thal_10010
10011	thal_10011
10012	thal_10012
10013	thal_10013
10014	thal_10014
10015	thal_10015
10016	thal_10016
10017	thal_10017
10018	thal_10018
10019	thal_10019
10020	thal_10020
10021	thal_10021
10022	thal_10022
10023	thal_10023
10024	thal_10024
10025	thal_10025
10026	thal_10026
10027	thal_10027
10028	thal_10028
10029	thal_10029
10030	thal_10030
10031	thal_10031
10032	thal_10032
10033	thal_10033
10034	thal_10034
10035	thal_10035
10036	thal_10036
10037	thal_10037
10038	thal_10038
10039	thal_10039
10040	thal_10040
10041	thal_10041
10042	thal_10042
10043	thal_10043
10044	thal_10044
10045	thal_10045
10046	thal_10046
10047	thal_10047
10048	thal_10048
10049	thal_10049
10050	thal_10050
10051	thal_10051
10052	thal_10052
10053	thal_10053
10054	thal_10054
10055	thal_10055
10056	thal_10056
10057	thal_10057
10058	thal_10058
10059	thal_10059
10060	thal_10060
10061	thal_10061
10062	thal_10062
10063	thal_10063
10064	thal_10064
10065	thal_10065
10066	thal_10066
10067	thal_10067
10068	thal_10068
10069	thal_10069
10070	thal_10070
10071	thal_10071
10072	thal_10072
10073	thal_10073
10074	thal_10074
10075	thal_10075
10076	thal_10076
10077	thal_10077
10078	thal_10078
10079	thal_10079
10080	thal_10080
10081	thal_10081
10082	thal_10082
10083	thal_10083
10084	thal_10084
10085	thal_10085
10086	thal_10086
10087	thal_10087
10088	thal_10088
10089	thal_10089
10090	thal_10090
10091	thal_10091
10092	thal_10092
10093	thal_10093
10094	thal_10094
10095	thal_10095
10096	thal_10096
10097	thal_10097
10098	thal_10098
10099	thal_10099
10100	thal_10100
10101	thal_10101
10102	thal_10102
10103	thal_10103
10104	thal_10104
10105	thal_10105
10106	thal_10106
10107	thal_10107
10108	thal_10108
10109	thal_10109
10110	thal_10110
10111	thal_10111
10112	thal_10112
10113	thal_10113
10114	thal_10114
10115	thal_10115
10116	thal_10116
10117	thal_10117
10118	thal_10118
10119	thal_10119
10120	thal_10120
10121	thal_10121
10122	thal_10122
10123	thal_10123
10124	thal_10124
10125	thal_10125
10126	thal_10126
10127	thal_10127
10128	thal_10128
10129	thal_10129
10130	thal_10130
10131	thal_10131
10132	thal_10132
10133	thal_10133
10134	thal_10134
10135	thal_10135
10136	thal_10136
10137	thal_10137
10138	thal_10138
10139	thal_10139
10140	thal_10140
10141	thal_10141
10142	thal_10142
10143	thal_10143
10144	thal_10144
10145	thal_10145
10146	thal_10146
10147	thal_10147
10148	thal_10148
10149	thal_10149
10150	thal_10150
10151	thal_10151
10152	thal_10152
10153	thal_10153
10154	thal_10154
10155	thal_10155
10156	thal_10156
10157	thal_10157
10158	thal_10158
10159	thal_10159
10160	thal_10160
10161	thal_10161
10162	thal_10162
10163	thal_10163
10164	thal_10164
10165	thal_10165
10166	thal_10166
10167	thal_10167
10168	thal_10168
10169	thal_10169
10170	thal_10170
10171	thal_10171
10172	thal_10172
10173	thal_10173
10174	thal_10174
10175	thal_10175
10176	thal_10176
10177	thal_10177
10178	thal_10178
10179	thal_10179
10180	thal_10180
10181	thal_10181
10182	thal_10182
10183	thal_10183
10184	thal_10184
10185	thal_10185
10186	thal_10186
10187	thal_10187
10188	thal_10188
10189	thal_10189
10190	thal_10190
10191	thal_10191
10192	thal_10192
10193	thal_10193
10194	thal_10194
10195	thal_10195
10196	thal_10196
10197	thal_10197
10198	thal_10198
10199	thal_10199
10200	thal_10200
10201	thal_10201
10202	thal_10202
10203	thal_10203
10204	thal_10204
10205	thal_10205
10206	thal_10206
10207	thal_10207
10208	thal_10208
10209	thal_10209
10210	thal_10210
10211	thal_10211
10212	thal_10212
10213	thal_10213
10214	thal_10214
10215	thal_10215
10216	thal_10216
10217	thal_10217
10218	thal_10218
10219	thal_10219
10220	thal_10220
10221	thal_10221
10222	thal_10222
10223	thal_10223
10224	thal_10224
10225	thal_10225
10226	thal_10226
10227	thal_10227
10228	thal_10228
10229	thal_10229
10230	thal_10230
10231	thal_10231
10232	thal_10232
10233	thal_10233
10234	thal_10234
10235	thal_10235
10236	thal_10236
10237	thal_10237
10238	thal_10238
10239	thal_10239
10240	thal_10240
10241	thal_10241
10242	thal_10242
10243	thal_10243
10244	thal_10244
10245	thal_10245
10246	thal_10246
10247	thal_10247
10248	thal_10248
10249	thal_10249
10250	thal_10250
10251	thal_10251
10252	thal_10252
10253	thal_10253
10254	thal_10254
10255	thal_10255
10256	thal_10256
10257	thal_10257
10258	thal_10258
10259	thal_10259
10260	thal_10260
10261	thal_10261
10262	thal_10262
10263	thal_10263
10264	thal_10264
10265	thal_10265
10266	thal_10266
10267	thal_10267
10268	thal_10268
10269	thal_10269
10270	thal_10270
10271	thal_10271
10272	thal_10272
10273	thal_10273
10274	thal_10274
10275	thal_10275
10276	thal_10276
10277	thal_10277
10278	thal_10278
10279	thal_10279
10280	thal_10280
10281	thal_10281
10282	thal_10282
10283	thal_10283
10284	thal_10284
10285	thal_10285
10286	thal_10286
10287	thal_10287
10288	thal_10288
10289	thal_10289
10290	thal_10290
10291	thal_10291
10292	thal_10292
10293	thal_10293
10294	thal_10294
10295	thal_10295
10296	thal_10296
10297	thal_10297
10298	thal_10298
10299	thal_10299
10300	thal_10300
10301	thal_10301
10302	thal_10302
10303	thal_10303
10304	thal_10304
10305	thal_10305
10306	thal_10306
10307	thal_10307
10308	thal_10308
10309	thal_10309
10310	thal_10310
10311	thal_10311
10312	thal_10312
10313	thal_10313
10314	thal_10314
10315	thal_10315
10316	thal_10316
10317	thal_10317
10318	thal_10318
10319	thal_10319
10320	thal_10320
10321	thal_10321
10322	thal_10322
10323	thal_10323
10324	thal_10324
10325	thal_10325
10326	thal_10326
10327	thal_10327
10328	thal_10328
10329	thal_10329
10330	thal_10330
10331	thal_10331
10332	thal_10332
10333	thal_10333
10334	thal_10334
10335	thal_10335
10336	thal_10336
10337	thal_10337
10338	thal_10338
10339	thal_10339
10340	thal_10340
10341	thal_10341
10342	thal_10342
10343	thal_10343
10344	thal_10344
10345	thal_10345
10346	thal_10346
10347	thal_10347
10348	thal_10348
10349	thal_10349
10350	thal_10350
10351	thal_10351
10352	thal_10352
10353	thal_10353
10354	thal_10354
10355	thal_10355
10356	thal_10356
10357	thal_10357
10358	thal_10358
10359	thal_10359
10360	thal_10360
10361	thal_10361
10362	thal_10362
10363	thal_10363
10364	thal_10364
10365	thal_10365
10366	thal_10366
10367	thal_10367
10368	thal_10368
10369	thal_10369
10370	thal_10370
10371	thal_10371
10372	thal_10372
10373	thal_10373
10374	thal_10374
10375	thal_10375
10376	thal_10376
10377	thal_10377
10378	thal_10378
10379	thal_10379
